lid,oid,pid,quantity
1,1,246,1
2,2,240,2
3,3,200,1
4,3,630,1
5,4,606,1
6,4,415,1
7,5,173,2
8,6,320,1
9,6,285,1
10,6,133,1
11,7,51,1
12,8,626,1
13,8,323,2
14,8,403,5
15,8,215,1
16,9,414,1
17,10,65,1
18,11,365,1
19,12,473,1
20,12,34,1
21,12,282,2
22,13,665,1
23,14,784,1
24,15,466,1
25,16,540,1
26,16,45,3
27,17,457,2
28,17,148,1
29,17,142,1
30,18,445,1
31,18,431,1
32,19,682,2
33,19,666,1
34,20,782,1
35,20,758,1
36,21,581,2
37,22,271,1
38,23,663,1
39,24,237,1
40,25,313,1
41,25,683,1
42,25,476,1
43,26,56,1
44,26,44,1
45,27,506,2
46,27,726,1
47,28,555,1
48,29,575,4
49,30,467,1
50,31,551,1
51,32,678,2
52,33,340,1
53,33,708,1
54,33,428,1
55,33,222,1
56,33,711,1
57,34,456,1
58,35,110,1
59,36,795,1
60,36,101,1
61,37,26,1
62,37,476,2
63,38,568,1
64,39,703,2
65,40,700,3
66,40,203,5
67,40,356,1
68,40,191,2
69,41,720,1
70,42,119,1
71,43,564,1
72,44,537,2
73,45,653,2
74,45,569,2
75,45,698,1
76,45,289,1
77,45,361,2
78,46,115,1
79,46,45,1
80,47,390,1
81,47,559,1
82,48,700,1
83,48,774,1
84,49,531,3
85,50,377,1
86,51,377,1
87,52,298,3
88,53,760,2
89,53,211,1
90,53,44,1
91,54,361,1
92,55,389,2
93,55,741,1
94,55,519,1
95,56,497,1
96,56,170,1
97,57,778,2
98,57,779,1
99,57,723,1
100,58,28,1
101,59,566,1
102,60,725,1
103,60,343,2
104,61,288,1
105,61,276,1
106,61,180,1
107,62,341,1
108,63,760,2
109,63,123,1
110,63,612,4
111,64,334,1
112,65,363,1
113,66,241,1
114,66,63,1
115,67,384,1
116,67,36,1
117,67,107,1
118,67,45,1
119,67,271,1
120,67,279,2
121,68,119,1
122,69,445,3
123,70,460,1
124,70,364,1
125,71,577,3
126,72,217,2
127,73,748,1
128,74,716,2
129,75,35,2
130,75,580,1
131,76,545,2
132,77,630,1
133,78,345,2
134,78,35,1
135,78,542,3
136,79,448,1
137,79,447,2
138,80,114,1
139,81,115,2
140,81,714,1
141,81,639,1
142,81,239,2
143,82,644,1
144,83,634,1
145,84,387,1
146,84,45,1
147,85,133,1
148,86,687,1
149,87,614,1
150,87,525,1
151,87,83,1
152,87,404,1
153,87,762,1
154,87,638,1
155,88,468,1
156,89,348,1
157,90,270,3
158,91,162,1
159,92,416,1
160,92,261,1
161,93,526,2
162,94,239,1
163,95,543,2
164,96,130,4
165,97,39,1
166,98,492,1
167,99,67,1
168,100,480,2
169,100,217,3
170,101,716,1
171,101,149,1
172,102,316,2
173,103,197,1
174,103,558,1
175,103,274,1
176,103,503,1
177,103,285,2
178,103,190,1
179,104,531,1
180,105,86,1
181,106,512,1
182,106,145,1
183,107,113,2
184,107,13,1
185,108,446,1
186,109,126,1
187,110,186,2
188,110,572,1
189,111,63,1
190,112,532,1
191,112,525,1
192,112,414,1
193,113,608,1
194,114,746,1
195,115,590,1
196,116,424,1
197,117,93,1
198,118,61,1
199,119,446,1
200,120,633,2
201,120,548,1
202,121,549,2
203,122,233,1
204,122,366,1
205,123,421,7
206,124,607,1
207,125,443,1
208,126,74,1
209,127,247,1
210,128,85,1
211,129,358,1
212,130,28,2
213,130,775,1
214,131,445,10
215,132,151,1
216,133,521,1
217,133,260,2
218,133,693,1
219,134,275,1
220,135,336,1
221,135,23,1
222,136,415,1
223,137,1,1
224,138,477,2
225,139,564,1
226,140,353,1
227,140,514,3
228,140,626,1
229,141,482,1
230,142,767,1
231,143,409,2
232,144,644,1
233,145,651,1
234,146,248,1
235,146,277,1
236,146,133,2
237,147,571,1
238,148,595,1
239,149,349,1
240,150,450,2
241,151,330,4
242,152,596,1
243,153,64,1
244,154,107,2
245,154,260,1
246,154,405,1
247,154,702,1
248,154,781,1
249,155,757,2
250,156,717,2
251,157,577,2
252,157,197,1
253,158,178,1
254,159,432,2
255,160,264,1
256,161,501,1
257,161,253,1
258,162,337,1
259,162,363,5
260,163,239,1
261,164,280,1
262,165,1,4
263,165,563,2
264,166,122,2
265,167,64,1
266,168,410,2
267,169,19,1
268,169,460,1
269,169,581,1
270,170,668,3
271,170,214,1
272,171,745,3
273,171,777,2
274,171,715,2
275,171,287,1
276,172,283,1
277,172,19,9
278,172,172,1
279,172,663,1
280,173,378,4
281,173,531,1
282,174,80,3
283,174,733,1
284,174,685,1
285,175,205,2
286,176,780,2
287,176,357,1
288,177,307,1
289,178,592,1
290,178,430,1
291,179,565,1
292,180,541,1
293,181,458,1
294,182,397,6
295,183,162,1
296,183,115,1
297,184,231,1
298,185,494,1
299,186,6,1
300,187,300,1
301,188,160,1
302,188,387,3
303,188,358,1
304,188,495,5
305,188,732,3
306,188,733,2
307,189,206,4
308,190,573,1
309,191,537,2
310,192,472,1
311,192,390,3
312,193,224,4
313,194,557,1
314,194,398,1
315,195,324,2
316,195,188,1
317,195,342,1
318,196,212,1
319,196,158,1
320,197,353,2
321,198,16,2
322,199,411,1
323,200,408,3
324,200,150,1
325,201,786,2
326,202,774,1
327,203,583,1
328,204,457,1
329,204,492,3
330,204,796,1
331,204,465,2
332,205,301,1
333,206,303,1
334,207,780,1
335,208,520,1
336,208,712,1
337,209,566,1
338,210,241,1
339,211,585,1
340,212,667,1
341,213,541,1
342,214,255,4
343,215,421,3
344,216,81,1
345,217,675,1
346,218,29,1
347,218,663,1
348,219,143,1
349,220,104,1
350,221,128,1
351,222,359,1
352,223,409,2
353,224,669,1
354,225,743,1
355,226,276,5
356,227,170,1
357,228,693,1
358,228,766,1
359,229,359,1
360,230,100,1
361,231,794,1
362,231,53,1
363,231,295,2
364,232,733,3
365,233,482,1
