oid,custid,ordertime
1,692,2018-10-05 23:56:11.296417+00
2,460,2018-10-05 23:57:15.260703+00
3,259,2018-10-05 23:57:26.489917+00
4,193,2018-10-05 23:57:49.291501+00
5,119,2018-10-05 23:58:10.45209+00
6,221,2018-10-05 23:59:21.436632+00
7,189,2018-10-05 23:59:35.703094+00
8,837,2018-10-05 23:59:45.913353+00
9,280,2018-10-05 23:59:55.167424+00
10,908,2018-10-06 00:00:06.026176+00
11,740,2018-10-06 00:00:08.10538+00
12,270,2018-10-06 00:00:10.1802+00
13,238,2018-10-06 00:00:23.123779+00
14,691,2018-10-06 00:00:44.690755+00
15,589,2018-10-06 00:00:58.924719+00
16,583,2018-10-06 00:01:03.903954+00
17,59,2018-10-06 00:01:36.116786+00
18,81,2018-10-06 00:01:43.093513+00
19,340,2018-10-06 00:01:53.526319+00
20,202,2018-10-06 00:02:36.430249+00
21,643,2018-10-06 00:02:36.599787+00
22,849,2018-10-06 00:02:43.016594+00
23,317,2018-10-06 00:02:50.022202+00
24,64,2018-10-06 00:03:02.845891+00
25,215,2018-10-06 00:03:36.36969+00
26,562,2018-10-06 00:03:44.902936+00
27,72,2018-10-06 00:04:23.113966+00
28,517,2018-10-06 00:04:53.514504+00
29,85,2018-10-06 00:04:54.421042+00
30,775,2018-10-06 00:04:57.355929+00
31,657,2018-10-06 00:05:59.812287+00
32,749,2018-10-06 00:06:51.863337+00
33,327,2018-10-06 00:07:15.701867+00
34,386,2018-10-06 00:07:19.409262+00
35,395,2018-10-06 00:07:23.958221+00
36,578,2018-10-06 00:07:51.064559+00
37,792,2018-10-06 00:08:10.107783+00
38,705,2018-10-06 00:08:22.495486+00
39,829,2018-10-06 00:08:31.63837+00
40,291,2018-10-06 00:08:49.06274+00
41,760,2018-10-06 00:08:51.750013+00
42,361,2018-10-06 00:08:53.342958+00
43,172,2018-10-06 00:09:21.562401+00
44,586,2018-10-06 00:09:31.249367+00
45,786,2018-10-06 00:09:34.858489+00
46,352,2018-10-06 00:10:35.361307+00
47,301,2018-10-06 00:10:38.234975+00
48,689,2018-10-06 00:11:02.332688+00
49,406,2018-10-06 00:12:01.186412+00
50,828,2018-10-06 00:12:15.052502+00
51,349,2018-10-06 00:12:32.444241+00
52,571,2018-10-06 00:12:32.963864+00
53,818,2018-10-06 00:13:02.972467+00
54,965,2018-10-06 00:13:21.445591+00
55,864,2018-10-06 00:13:22.369189+00
56,202,2018-10-06 00:13:26.883262+00
57,839,2018-10-06 00:13:33.611952+00
58,32,2018-10-06 00:13:56.453771+00
59,261,2018-10-06 00:14:29.852824+00
60,158,2018-10-06 00:14:34.018617+00
61,722,2018-10-06 00:15:37.400961+00
62,147,2018-10-06 00:15:52.891829+00
63,625,2018-10-06 00:16:02.959993+00
64,137,2018-10-06 00:16:04.669541+00
65,221,2018-10-06 00:16:21.353892+00
66,480,2018-10-06 00:16:57.124683+00
67,303,2018-10-06 00:17:07.537998+00
68,743,2018-10-06 00:17:32.424956+00
69,198,2018-10-06 00:17:33.207323+00
70,380,2018-10-06 00:17:45.389036+00
71,178,2018-10-06 00:17:46.619176+00
72,196,2018-10-06 00:18:30.385294+00
73,71,2018-10-06 00:18:53.572996+00
74,53,2018-10-06 00:19:14.603125+00
75,516,2018-10-06 00:19:15.755941+00
76,750,2018-10-06 00:19:51.241966+00
77,114,2018-10-06 00:20:12.586614+00
78,797,2018-10-06 00:20:37.50313+00
79,240,2018-10-06 00:21:27.19161+00
80,120,2018-10-06 00:22:07.360446+00
81,183,2018-10-06 00:22:31.532556+00
82,457,2018-10-06 00:22:47.754049+00
83,373,2018-10-06 00:22:52.839392+00
84,220,2018-10-06 00:22:56.354279+00
85,908,2018-10-06 00:23:05.356881+00
86,29,2018-10-06 00:23:15.171583+00
87,277,2018-10-06 00:23:52.704597+00
88,930,2018-10-06 00:23:59.145561+00
89,154,2018-10-06 00:24:09.424484+00
90,696,2018-10-06 00:24:12.399267+00
91,574,2018-10-06 00:24:14.178873+00
92,173,2018-10-06 00:24:41.875661+00
93,315,2018-10-06 00:24:56.527229+00
94,627,2018-10-06 00:25:34.899622+00
95,568,2018-10-06 00:25:51.63812+00
96,439,2018-10-06 00:26:12.194679+00
97,276,2018-10-06 00:26:14.153854+00
98,61,2018-10-06 00:26:48.09203+00
99,818,2018-10-06 00:27:16.148688+00
100,704,2018-10-06 00:27:34.790462+00
101,722,2018-10-06 00:27:40.581065+00
102,660,2018-10-06 00:27:58.855819+00
103,265,2018-10-06 00:28:05.439336+00
104,687,2018-10-06 00:28:14.210942+00
105,797,2018-10-06 00:28:47.291886+00
106,349,2018-10-06 00:28:48.016545+00
107,908,2018-10-06 00:28:59.710484+00
108,326,2018-10-06 00:29:10.178003+00
109,300,2018-10-06 00:29:34.893577+00
110,355,2018-10-06 00:29:54.611564+00
111,477,2018-10-06 00:30:09.717009+00
112,242,2018-10-06 00:30:11.224403+00
113,923,2018-10-06 00:30:12.249931+00
114,580,2018-10-06 00:30:35.012345+00
115,516,2018-10-06 00:30:45.993256+00
116,709,2018-10-06 00:31:04.725547+00
117,198,2018-10-06 00:31:38.156392+00
118,793,2018-10-06 00:31:41.01425+00
119,415,2018-10-06 00:32:05.990783+00
120,820,2018-10-06 00:32:08.241419+00
121,993,2018-10-06 00:32:24.227995+00
122,718,2018-10-06 00:32:38.788552+00
123,932,2018-10-06 00:32:39.301842+00
124,445,2018-10-06 00:32:53.377872+00
125,323,2018-10-06 00:32:56.484794+00
126,311,2018-10-06 00:33:04.483951+00
127,255,2018-10-06 00:33:38.531711+00
128,608,2018-10-06 00:33:52.349117+00
129,606,2018-10-06 00:33:58.450626+00
130,912,2018-10-06 00:34:18.783442+00
131,552,2018-10-06 00:34:29.403196+00
132,874,2018-10-06 00:34:32.251842+00
133,92,2018-10-06 00:34:36.590768+00
134,421,2018-10-06 00:35:33.379319+00
135,778,2018-10-06 00:35:40.003081+00
136,689,2018-10-06 00:35:48.860589+00
137,474,2018-10-06 00:35:49.332899+00
138,88,2018-10-06 00:36:36.714561+00
139,78,2018-10-06 00:36:48.444509+00
140,191,2018-10-06 00:37:18.190113+00
141,102,2018-10-06 00:37:18.822282+00
142,134,2018-10-06 00:37:36.858924+00
143,664,2018-10-06 00:37:58.198891+00
144,570,2018-10-06 00:38:05.04783+00
145,209,2018-10-06 00:38:14.293915+00
146,122,2018-10-06 00:38:29.985237+00
147,925,2018-10-06 00:38:50.404954+00
148,146,2018-10-06 00:39:22.186302+00
149,894,2018-10-06 00:39:24.549193+00
150,776,2018-10-06 00:40:38.971249+00
151,561,2018-10-06 00:40:40.085931+00
152,101,2018-10-06 00:40:44.612095+00
153,638,2018-10-06 00:41:00.870496+00
154,305,2018-10-06 00:41:26.59138+00
155,705,2018-10-06 00:41:35.674885+00
156,338,2018-10-06 00:42:21.637152+00
